type;sourceName;sourceVersion;device;unit;creationDate;startDate;endDate;value
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c92de0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 00:45:43 -0400;2017-03-29 00:39:05 -0400;2017-03-29 00:40:05 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c933d0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 02:45:25 -0400;2017-03-29 02:40:31 -0400;2017-03-29 02:41:31 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c93330>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 04:00:52 -0400;2017-03-29 03:56:02 -0400;2017-03-29 03:57:02 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c93240>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 04:00:52 -0400;2017-03-29 03:57:02 -0400;2017-03-29 03:58:02 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c93150>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 04:20:44 -0400;2017-03-29 04:18:20 -0400;2017-03-29 04:19:20 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c8a910>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 04:20:44 -0400;2017-03-29 04:19:20 -0400;2017-03-29 04:20:20 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4e804b0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 06:36:12 -0400;2017-03-29 06:31:31 -0400;2017-03-29 06:32:31 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a907c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 06:36:12 -0400;2017-03-29 06:32:31 -0400;2017-03-29 06:33:31 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c8a780>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 06:49:30 -0400;2017-03-29 06:46:48 -0400;2017-03-29 06:47:48 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a91620>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 06:53:14 -0400;2017-03-29 06:48:43 -0400;2017-03-29 06:49:43 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a917b0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 07:15:27 -0400;2017-03-29 07:11:36 -0400;2017-03-29 07:12:36 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8fb90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 07:42:55 -0400;2017-03-29 07:37:14 -0400;2017-03-29 07:38:14 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8fa50>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 07:48:30 -0400;2017-03-29 07:45:17 -0400;2017-03-29 07:46:17 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4882580>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 09:36:20 -0400;2017-03-29 09:34:01 -0400;2017-03-29 09:35:01 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c9efa0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 09:59:41 -0400;2017-03-29 09:53:55 -0400;2017-03-29 09:54:55 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8ba90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 09:59:41 -0400;2017-03-29 09:55:04 -0400;2017-03-29 09:56:04 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c469f040>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 11:18:02 -0400;2017-03-29 11:14:29 -0400;2017-03-29 11:15:29 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c48820d0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 11:33:09 -0400;2017-03-29 11:31:10 -0400;2017-03-29 11:32:10 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8bb30>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 12:00:04 -0400;2017-03-29 11:58:18 -0400;2017-03-29 11:59:18 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8bdb0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:25:04 -0400;2017-03-29 13:21:11 -0400;2017-03-29 13:22:11 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4881a90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:25:04 -0400;2017-03-29 13:22:11 -0400;2017-03-29 13:23:11 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4881f90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:32:49 -0400;2017-03-29 13:30:14 -0400;2017-03-29 13:31:14 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c92840>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:54:29 -0400;2017-03-29 13:53:05 -0400;2017-03-29 13:54:05 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c92700>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:55:51 -0400;2017-03-29 13:54:34 -0400;2017-03-29 13:55:34 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c92b10>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:56:39 -0400;2017-03-29 13:55:34 -0400;2017-03-29 13:56:34 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c488c8f0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:57:37 -0400;2017-03-29 13:56:34 -0400;2017-03-29 13:57:34 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c46855f0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-29 13:58:39 -0400;2017-03-29 13:57:34 -0400;2017-03-29 13:58:34 -0400;1
